"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"A0PJW6","Q15116","TMEM223","PDCD1","exp"
"A1KZ92","P19878","PXDNL","NCF2","pred"
"A1X283","P19878","SH3PXD2B","NCF2","pred"
"A2BHY4","P0C0L4","-","C4A","pred"
"A2BHY4","P0C0L5","-","C4B;C4B_2","pred"
"A2RUT3","P0C0L4","TMEM89","C4A","exp"
"A4D1F6","Q13546","LRRD1","RIPK1","pred"
"A4FU49","P19878","SH3D21","NCF2","pred"
"A5PKW4","O95267","PSD","RASGRP1","pred"
"A6NI72","P19878","NCF1B","NCF2","pred"
"A6NJZ7","P19878","RIMBP3C","NCF2","pred"
"A6NK59","O95267","ASB14","RASGRP1","pred"
"A6NMZ7","P11215","COL6A6","ITGAM","pred"
"A6NNM3","P19878","RIMBP3B","NCF2","pred"
"A6ZKI3","Q15116","RTL8C","PDCD1","exp"
"A7KAX9","P19878","ARHGAP32","NCF2","pred"
"A8MVU1","P19878","NCF1C","NCF2","pred"
"A8TX70","P11215","COL6A5","ITGAM","pred"
"C3PTT6","O60602","PAUF","TLR5","exp"
"O00115","P24855","DNASE2","DNASE1","pred"
"O00141","P21580","SGK1","TNFAIP3","pred"
"O00159","Q13546","MYO1C","RIPK1","pred"
"O00160","P19878","MYO1F","NCF2","pred"
"O00165","Q9Y2R2","HAX1","PTPN22","exp"
"O00178","Q13568","GTPBP1","IRF5","exp"
"O00182","O60602","LGALS9","TLR5","pred"
"O00187","P0C0L4","MASP2","C4A","exp;pred"
"O00187","P0C0L5","MASP2","C4B;C4B_2","exp;pred"
"O00187","P19878","MASP2","NCF2","pred"
"O00206","O60602","TLR4","TLR5","exp;pred"
"O00206","Q13546","TLR4","RIPK1","ortho;pred"
"O00206","Q13568","TLR4","IRF5","pred"
"O00213","O95267","APBB1","RASGRP1","pred"
"O00214","P0C0L4","LGALS8","C4A","exp"
"O00220","Q13546","TNFRSF10A","RIPK1","exp;pred"
"O00221","P21580","NFKBIE","TNFAIP3","pred"
"O00254","P11215","F2RL2","ITGAM","pred"
"O00273","P21580","DFFA","TNFAIP3","pred"
"O00273","P24855","DFFA","DNASE1","pred"
"O00273","Q13609","DFFA","DNASE1L3","pred"
"O00308","P23510","WWP2","TNFSF4","pred"
"O00308","Q13546","WWP2","RIPK1","pred"
"O00329","P16410","PIK3CD","CTLA4","pred"
"O00329","P29376","PIK3CD","LTK","pred"
"O00391","P02741","QSOX1","CRP","exp"
"O00401","Q9Y2R2","WASL","PTPN22","pred"
"O00429","Q13546","DNM1L","RIPK1","ortho"
"O00453","P19878","LST1","NCF2","pred"
"O00459","P16410","PIK3R2","CTLA4","pred"
"O00459","P29376","PIK3R2","LTK","pred"
"O00459","P31994","PIK3R2","FCGR2B","pred"
"O00459","Q13546","PIK3R2","RIPK1","pred"
"O00459","Q9Y2R2","PIK3R2","PTPN22","pred"
"O00463","P21580","TRAF5","TNFAIP3","pred"
"O00463","P23510","TRAF5","TNFSF4","pred"
"O00463","Q13546","TRAF5","RIPK1","exp;pred"
"O00468","P02741","AGRN","CRP","exp;pred"
"O00478","P11215","BTN3A3","ITGAM","pred"
"O00478","P16410","BTN3A3","CTLA4","pred"
"O00570","P24855","SOX1","DNASE1","pred"
"O00571","Q13546","DDX3X","RIPK1","pred"
"O00634","P0C0L4","NTN3","C4A","pred"
"O00635","P21580","TRIM38","TNFAIP3","pred"
"O00635","Q13546","TRIM38","RIPK1","exp;pred"
"O00743","Q13546","PPP6C","RIPK1","ortho;pred"
"O00750","P29376","PIK3C2B","LTK","exp"
"O14492","O95267","SH2B2","RASGRP1","pred"
"O14492","P0C0L5","SH2B2","C4B;C4B_2","pred"
"O14492","Q13546","SH2B2","RIPK1","pred"
"O14492","Q9Y2R2","SH2B2","PTPN22","pred"
"O14508","O95267","SOCS2","RASGRP1","pred"
"O14512","O95267","SOCS7","RASGRP1","pred"
"O14512","Q14765","SOCS7","STAT4","pred"
"O14522","Q9Y2R2","PTPRT","PTPN22","pred"
"O14543","O95267","SOCS3","RASGRP1","pred"
"O14543","P19878","SOCS3","NCF2","pred"
"O14543","Q13546","SOCS3","RIPK1","pred"
"O14544","O95267","SOCS6","RASGRP1","pred"
"O14544","P19878","SOCS6","NCF2","pred"
"O14544","P29376","SOCS6","LTK","pred"
"O14544","Q14765","SOCS6","STAT4","pred"
"O14562","P19878","UBFD1","NCF2","pred"
"O14578","P29376","CIT","LTK","pred"
"O14594","P0C0L4","NCAN","C4A","pred"
"O14618","P19878","CCS","NCF2","pred"
"O14641","Q13546","DVL2","RIPK1","pred"
"O14649","P21580","KCNK3","TNFAIP3","pred"
"O14654","P29376","IRS4","LTK","pred"
"O14672","P11215","ADAM10","ITGAM","pred"
"O14733","Q13546","MAP2K7","RIPK1","pred"
"O14757","Q13546","CHEK1","RIPK1","pred"
"O14763","P21580","TNFRSF10B","TNFAIP3","exp"
"O14763","Q13546","TNFRSF10B","RIPK1","exp;pred"
"O14788","P23510","TNFSF11","TNFSF4","pred"
"O14788","Q14765","TNFSF11","STAT4","pred"
"O14791","P19878","APOL1","NCF2","pred"
"O14796","Q14765","SH2D1B","STAT4","exp"
"O14807","O95267","MRAS","RASGRP1","pred"
"O14827","O95267","RASGRF2","RASGRP1","pred"
"O14836","P21580","TNFRSF13B","TNFAIP3","pred"
"O14896","Q13568","IRF6","IRF5","exp;pred"
"O14896","Q14765","IRF6","STAT4","pred"
"O14920","P11215","IKBKB","ITGAM","pred"
"O14920","P21580","IKBKB","TNFAIP3","exp;pred"
"O14920","Q13546","IKBKB","RIPK1","exp;pred"
"O14920","Q13568","IKBKB","IRF5","pred"
"O14931","O60602","NCR3","TLR5","pred"
"O14931","P0C0L5","NCR3","C4B;C4B_2","pred"
"O14931","P20023","NCR3","CR2","pred"
"O14936","Q13546","CASK","RIPK1","pred"
"O14939","P11215","PLD2","ITGAM","pred"
"O14944","O60602","EREG","TLR5","pred"
"O14944","P19878","EREG","NCF2","pred"
"O14948","P19878","TFEC","NCF2","pred"
"O14974","Q13546","PPP1R12A","RIPK1","pred"
"O14976","P16410","GAK","CTLA4","pred"
"O14980","Q13546","XPO1","RIPK1","exp"
"O14980","Q13568","XPO1","IRF5","exp"
"O15021","P29376","MAST4","LTK","pred"
"O15034","P19878","RIMBP2","NCF2","pred"
"O15056","Q9Y2R2","SYNJ2","PTPN22","pred"
"O15068","P19878","MCF2L","NCF2","pred"
"O15085","O95267","ARHGEF11","RASGRP1","pred"
"O15105","Q13546","SMAD7","RIPK1","pred"
"O15111","P11215","CHUK","ITGAM","pred"
"O15111","P21580","CHUK","TNFAIP3","exp;pred"
"O15111","Q13546","CHUK","RIPK1","exp;pred"
"O15111","Q13568","CHUK","IRF5","exp;pred"
"O15117","P16410","FYB1","CTLA4","pred"
"O15117","P19878","FYB1","NCF2","pred"
"O15117","P31994","FYB1","FCGR2B","pred"
"O15146","P29376","MUSK","LTK","pred"
"O15146","Q13546","MUSK","RIPK1","pred"
"O15151","P21580","MDM4","TNFAIP3","pred"
"O15162","P31994","PLSCR1","FCGR2B","pred"
"O15164","Q13546","TRIM24","RIPK1","pred"
"O15169","P21580","AXIN1","TNFAIP3","exp"
"O15169","Q13546","AXIN1","RIPK1","pred"
"O15197","P29376","EPHB6","LTK","pred"
"O15204","P11215","ADAMDEC1","ITGAM","pred"
"O15230","P02741","LAMA5","CRP","exp"
"O15259","P19878","NPHP1","NCF2","pred"
"O15350","Q13546","TP73","RIPK1","pred"
"O15350","Q14765","TP73","STAT4","pred"
"O15350","Q9NSU2","TP73","TREX1","pred"
"O15355","Q13568","PPM1G","IRF5","exp"
"O15357","P31994","INPPL1","FCGR2B","exp;pred"
"O15357","Q13546","INPPL1","RIPK1","pred"
"O15357","Q9Y2R2","INPPL1","PTPN22","pred"
"O15389","P11215","SIGLEC5","ITGAM","pred"
"O15392","Q13546","BIRC5","RIPK1","pred"
"O15394","P11215","NCAM2","ITGAM","pred"
"O15397","Q13546","IPO8","RIPK1","pred"
"O15455","O60602","TLR3","TLR5","pred"
"O15455","Q13546","TLR3","RIPK1","exp;ortho;pred"
"O15455","Q13568","TLR3","IRF5","pred"
"O15519","O60602","CFLAR","TLR5","pred"
"O15519","P21580","CFLAR","TNFAIP3","pred"
"O15519","Q13546","CFLAR","RIPK1","exp;pred"
"O15524","O95267","SOCS1","RASGRP1","pred"
"O15524","P21580","SOCS1","TNFAIP3","pred"
"O15524","Q14765","SOCS1","STAT4","pred"
"O15524","Q15116","SOCS1","PDCD1","exp"
"O15530","P29376","PDPK1","LTK","pred"
"O15530","Q13546","PDPK1","RIPK1","pred"
"O15530","Q9Y2R2","PDPK1","PTPN22","exp"
"O43175","Q9Y2R2","PHGDH","PTPN22","pred"
"O43184","P29376","ADAM12","LTK","pred"
"O43187","O60602","IRAK2","TLR5","pred"
"O43187","P11215","IRAK2","ITGAM","pred"
"O43187","P21580","IRAK2","TNFAIP3","exp"
"O43187","Q13546","IRAK2","RIPK1","pred"
"O43187","Q13568","IRAK2","IRF5","pred"
"O43187","Q14765","IRAK2","STAT4","pred"
"O43283","P21580","MAP3K13","TNFAIP3","pred"
"O43283","Q13546","MAP3K13","RIPK1","pred"
"O43286","P02741","B4GALT5","CRP","exp"
"O43293","P29376","DAPK3","LTK","pred"
"O43293","Q13546","DAPK3","RIPK1","pred"
"O43307","O95267","ARHGEF9","RASGRP1","pred"
"O43315","P19878","AQP9","NCF2","pred"
"O43316","Q13546","PAX4","RIPK1","pred"
"O43318","O60602","MAP3K7","TLR5","pred"
"O43318","P21580","MAP3K7","TNFAIP3","pred"
"O43318","Q13546","MAP3K7","RIPK1","exp;pred"
"O43353","P16410","RIPK2","CTLA4","pred"
"O43353","P21580","RIPK2","TNFAIP3","ortho;pred"
"O43353","Q13546","RIPK2","RIPK1","exp;pred"
"O43426","Q9Y2R2","SYNJ1","PTPN22","pred"
"O43464","Q13546","HTRA2","RIPK1","pred"
"O43488","Q9Y2R2","AKR7A2","PTPN22","exp"
"O43493","P16410","TGOLN2","CTLA4","pred"
"O43504","Q14765","LAMTOR5","STAT4","exp"
"O43516","P31994","WIPF1","FCGR2B","pred"
"O43521","Q13546","BCL2L11","RIPK1","pred"
"O43524","P21580","FOXO3","TNFAIP3","pred"
"O43541","Q13546","SMAD6","RIPK1","pred"
"O43557","P21580","TNFSF14","TNFAIP3","pred"
"O43557","P23510","TNFSF14","TNFSF4","pred"
"O43557","Q13546","TNFSF14","RIPK1","pred"
"O43561","P16410","LAT","CTLA4","pred"
"O43561","P29376","LAT","LTK","pred"
"O43561","Q9Y2R2","LAT","PTPN22","pred"
"O43586","P19878","PSTPIP1","NCF2","pred"
"O43586","Q9Y2R2","PSTPIP1","PTPN22","exp;ortho"
"O43592","Q13546","XPOT","RIPK1","pred"
"O43639","P19878","NCK2","NCF2","pred"
"O43639","Q9Y2R2","NCK2","PTPN22","pred"
"O43707","P31994","ACTN4","FCGR2B","pred"
"O43707","Q13546","ACTN4","RIPK1","pred"
"O43734","P21580","TRAF3IP2","TNFAIP3","pred"
"O43734","Q13546","TRAF3IP2","RIPK1","pred"
"O43747","P16410","AP1G1","CTLA4","pred"
"O43765","Q13568","SGTA","IRF5","exp"
"O43781","Q13546","DYRK3","RIPK1","pred"
"O43791","P21580","SPOP","TNFAIP3","pred"
"O43795","Q13546","MYO1B","RIPK1","pred"
"O43809","Q13546","NUDT21","RIPK1","pred"
"O43819","Q9Y2R2","SCO2","PTPN22","exp"
"O43852","Q9Y2R2","CALU","PTPN22","exp"
"O43866","P19878","CD5L","NCF2","pred"
"O43914","P11215","TYROBP","ITGAM","pred"
"O43914","P19878","TYROBP","NCF2","pred"
"O60216","P11215","RAD21","ITGAM","exp"
"O60229","O95267","KALRN","RASGRP1","pred"
"O60229","Q13546","KALRN","RIPK1","pred"
"O60243","P02741","HS6ST1","CRP","exp"
"O60260","P19878","PRKN","NCF2","pred"
"O60260","Q13546","PRKN","RIPK1","pred"
"O60307","P29376","MAST3","LTK","pred"
"O60330","P11215","PCDHGA12","ITGAM","pred"
"O60343","P19878","TBC1D4","NCF2","exp"
"O60449","P11215","LY75","ITGAM","pred"
"O60449","P31994","LY75","FCGR2B","pred"
"O60476","O60602","MAN1A2","TLR5","exp"
"O60496","P31994","DOK2","FCGR2B","pred"
"O60504","P19878","SORBS3","NCF2","pred"
"O60512","P02741","B4GALT3","CRP","exp"
"O60543","P24855","CIDEA","DNASE1","pred"
"O60543","Q13609","CIDEA","DNASE1L3","pred"
"O60566","Q13546","BUB1B","RIPK1","pred"
"O60602","P01137","TLR5","TGFB1","pred"
"O60602","Q99836","TLR5","MYD88","exp;pred"
"O60602","P58753","TLR5","TIRAP","pred"
"O60602","Q96HY6","TLR5","DDRGK1","exp"
"O60602","Q86XR7","TLR5","TICAM2","pred"
"O60602","Q8IUD6","TLR5","RNF135","pred"
"O60602","Q9NP60","TLR5","IL1RAPL2","pred"
"O60602","P05362","TLR5","ICAM1","pred"
"O60602","Q13568","TLR5","IRF5","pred"
"O60602","P07996","TLR5","THBS1","pred"
"O60602","P06729","TLR5","CD2","pred"
"O60602","Q13045","TLR5","FLII","pred"
"O60602","Q9NQ25","TLR5","SLAMF7","pred"
"O60602","P02788","TLR5","LTF","pred"
"O60602","Q8IUC6","TLR5","TICAM1","exp"
"O60602","Q8WYK0","TLR5","ACOT12","exp"
"O60602","O75911","TLR5","DHRS3","exp"
"O60602","P12319","TLR5","FCER1A","pred"
"O60602","Q9UDY8","TLR5","MALT1","pred"
"O60602","P10643","TLR5","C7","pred"
"O60602","P07766","TLR5","CD3E","pred"
"O60602","Q13158","TLR5","FADD","pred"
"O60602","P27986","TLR5","PIK3R1","exp;pred"
"O60602","Q9UGK3","TLR5","STAP2","pred"
"O60602","Q9Y616","TLR5","IRAK3","pred"
"O60602","Q96F15","TLR5","GIMAP5","pred"
"O60602","P29466","TLR5","CASP1","pred"
"O60602","Q9Y239","TLR5","NOD1","pred"
"O60602","P16885","TLR5","PLCG2","pred"
"O60602","Q9Y2C9","TLR5","TLR6","pred"
"O60602","P42081","TLR5","CD86","pred"
"O60602","Q9NYK1","TLR5","TLR7","pred"
"O60602","Q9NZN1","TLR5","IL1RAPL1","pred"
"O60602","Q16653","TLR5","MOG","pred"
"O60602","P04233","TLR5","CD74","pred"
"O60602","Q9Y394","TLR5","DHRS7","exp"
"O60602","Q16740","TLR5","CLPP","pred"
"O60602","Q96MN2","TLR5","NLRP4","pred"
"O60602","Q96P20","TLR5","NLRP3","pred"
"O60602","P06681","TLR5","C2","pred"
"O60602","Q9Y4K3","TLR5","TRAF6","pred"
"O60602","P43405","TLR5","SYK","pred"
"O60602","Q15306","TLR5","IRF4","pred"
"O60602","P49238","TLR5","CX3CR1","pred"
"O60602","Q9Y5W7","TLR5","SNX14","exp"
"O60602","P08887","TLR5","IL6R","pred"
"O60602","P06340","TLR5","HLA-DOA","pred"
"O60602","Q96TA2","TLR5","YME1L1","pred"
"O60602","O76031","TLR5","CLPX","pred"
"O60602","P20701","TLR5","ITGAL","pred"
"O60602","P25445","TLR5","FAS","pred"
"O60602","Q16581","TLR5","C3AR1","pred"
"O60602","Q9GZY6","TLR5","LAT2","pred"
"O60602","Q14790","TLR5","CASP8","pred"
"O60602","Q9NPY3","TLR5","CD93","pred"
"O60602","O95256","TLR5","IL18RAP","pred"
"O60602","Q99467","TLR5","CD180","pred"
"O60602","Q9Y320","TLR5","TMX2","exp"
"O60602","P23511","TLR5","NFYA","pred"
"O60602","P35968","TLR5","KDR","pred"
"O60602","Q9BY67","TLR5","CADM1","pred"
"O60602","Q86YW5","TLR5","TREML1","pred"
"O60602","Q9NWF9","TLR5","RNF216","exp"
"O60602","Q6IA17","TLR5","SIGIRR","exp;pred"
"O60602","P14778","TLR5","IL1R1","pred"
"O60602","Q13547","TLR5","HDAC1","pred"
"O60602","Q9Y279","TLR5","VSIG4","pred"
"O60602","Q15139","TLR5","PRKD1","exp"
"O60602","Q96QH2","TLR5","PRAM1","pred"
"O60602","O95476","TLR5","CTDNEP1","exp"
"O60602","O95711","TLR5","LY86","pred"
"O60602","Q9BXR5","TLR5","TLR10","pred"
"O60602","Q9BT09","TLR5","CNPY3","exp"
"O60602","O60603","TLR5","TLR2","pred"
"O60602","P51617","TLR5","IRAK1","exp;pred"
"O60602","P21730","TLR5","C5AR1","pred"
"O60602","Q9NZD8","TLR5","SPG21","pred"
