,id,A Symbol,B Symbol,A UniProt,B UniProt,DB Source
0,RIPK1,RIPK1,TNFAIP3,8737,7128,BIOGRID
1,RIPK1,TNFAIP3,RIPK1,7128,8737,BIOGRID
2,RIPK1,TNFAIP3,RIPK1,7128,8737,BIOGRID
3,RIPK1,TNFAIP3,RIPK1,7128,8737,BIOGRID
4,RIPK1,RIPK1,TNFAIP3,8737,7128,BIOGRID
5,RIPK1,TNFAIP3,RIPK1,7128,8737,BIOGRID
6,TNFAIP3,RIPK1,TNFAIP3,8737,7128,BIOGRID
7,TNFAIP3,TNFAIP3,RIPK1,7128,8737,BIOGRID
8,TNFAIP3,TNFAIP3,RIPK1,7128,8737,BIOGRID
9,TNFAIP3,TNFAIP3,RIPK1,7128,8737,BIOGRID
10,TNFAIP3,RIPK1,TNFAIP3,8737,7128,BIOGRID
11,TNFAIP3,TNFAIP3,RIPK1,7128,8737,BIOGRID
12,RIPK1,RIPK1,TNFAIP3,8737,7128,BIOGRID
13,RIPK1,TNFAIP3,RIPK1,7128,8737,BIOGRID
14,RIPK1,TNFAIP3,RIPK1,7128,8737,BIOGRID
15,RIPK1,TNFAIP3,RIPK1,7128,8737,BIOGRID
16,RIPK1,RIPK1,TNFAIP3,8737,7128,BIOGRID
17,RIPK1,TNFAIP3,RIPK1,7128,8737,BIOGRID
18,TNFAIP3,RIPK1,TNFAIP3,8737,7128,BIOGRID
19,TNFAIP3,TNFAIP3,RIPK1,7128,8737,BIOGRID
20,TNFAIP3,TNFAIP3,RIPK1,7128,8737,BIOGRID
21,TNFAIP3,TNFAIP3,RIPK1,7128,8737,BIOGRID
22,TNFAIP3,RIPK1,TNFAIP3,8737,7128,BIOGRID
23,TNFAIP3,TNFAIP3,RIPK1,7128,8737,BIOGRID
