,Gene,Official_A,Official_B,UniProt_A,UniProt_B,Source
0,BANK1,BANK1,LYN,55024,4067,BIOGRID
1,BANK1,BANK1,ITPR1,55024,3708,BIOGRID
2,BANK1,BANK1,LYN,55024,4067,BIOGRID
3,BANK1,YWHAQ,BANK1,10971,55024,BIOGRID
4,C4A,C4A,CST3,720,1471,BIOGRID
5,C4A,C4B,C2,721,717,BIOGRID
6,C4A,C4B,C2,721,717,BIOGRID
7,C4A,APC,C4A,324,720,BIOGRID
8,C4A,C2,Psmd3,24231,287670,BIOGRID
9,C4A,C2,Psmc1,24231,117263,BIOGRID
10,C4A,C2,Psmc3,24231,29677,BIOGRID
11,C4A,C2,Psmc4,24231,117262,BIOGRID
12,C4A,C2,Psmc2,24231,25581,BIOGRID
13,C4A,C2,S8,24231,29550,BIOGRID
14,C4A,C2,Psmd7,24231,307821,BIOGRID
15,C4A,C2,C9,24231,117512,BIOGRID
16,C4A,C2,Psma3,24231,29670,BIOGRID
17,C4A,C2,C6,24231,24237,BIOGRID
18,C4A,C2,Psma6,24231,29673,BIOGRID
19,C4A,C2,Psma5,24231,29672,BIOGRID
20,C4A,C2,C3,24231,24232,BIOGRID
21,C4A,C2,Psmb6,24231,29666,BIOGRID
22,C4A,C2,C7,24231,117517,BIOGRID
23,C4A,C2,Psmd14,24231,311078,BIOGRID
24,C4A,ALB,C4A,213,720,BIOGRID
25,C4A,FN1,C4A,2335,720,BIOGRID
26,C4A,GDPD1,C4A,284161,720,BIOGRID
27,C4A,LGALS8,C4A,3964,720,BIOGRID
28,C4A,SCN2B,C4A,6327,720,BIOGRID
29,C4A,TMEM89,C4A,440955,720,BIOGRID
30,C4A,KIF22,C4A,3835,720,BIOGRID
31,C4A,MCM2,C4A,4171,720,BIOGRID
32,C4A,MCM2,C4B,4171,721,BIOGRID
33,C4A,SNX27,C4A,81609,720,BIOGRID
34,C4A,PVR,C4A,5817,720,BIOGRID
35,C4A,GDPD1,C4A,284161,720,BIOGRID
36,C4A,SLC15A1,C4A,6564,720,BIOGRID
37,C4A,FAM171B,C4A,165215,720,BIOGRID
38,C4A,SCN2B,C4A,6327,720,BIOGRID
39,C4A,OCLN,C4A,100506658,720,BIOGRID
40,C4A,CCL5,C4A,6352,720,BIOGRID
41,C4A,LGALS8,C4A,3964,720,BIOGRID
42,C4A,TMEM89,C4A,440955,720,BIOGRID
43,C4A,LAMP1,C4A,3916,720,BIOGRID
44,C4A,VSIG1,C4A,340547,720,BIOGRID
45,C4A,ATP2B2,C4A,491,720,BIOGRID
46,C4A,Gja1,C4a,24392,24233,BIOGRID
47,C4B,C4B,C2,721,717,BIOGRID
48,C4B,C4B,C2,721,717,BIOGRID
49,C4B,MCM2,C4B,4171,721,BIOGRID
50,C4B,Fancd2,C4b,211651,12268,BIOGRID
51,C4B,Gja1,C4a,24392,24233,BIOGRID
52,C4B_2,C4B,C2,721,717,BIOGRID
53,C4B_2,C4B,C2,721,717,BIOGRID
54,C4B_2,MCM2,C4B,4171,721,BIOGRID
55,CR2,CD19,CR2,930,1380,BIOGRID
56,CR2,CR2,CD81,1380,975,BIOGRID
57,CR2,CR2,IFITM1,1380,8519,BIOGRID
58,CR2,CR2,FCER2,1380,2208,BIOGRID
59,CR2,CD19,CR2,930,1380,BIOGRID
60,CR2,CR2,ANXA6,1380,309,BIOGRID
61,CR2,CR1,CR2,1378,1380,BIOGRID
62,CR2,IFNA1,CR2,3439,1380,BIOGRID
63,CRP,CG14490,crp,37041,34956,BIOGRID
64,CRP,CG3557,crp,33426,34956,BIOGRID
65,CRP,crp,BubR1,34956,35522,BIOGRID
66,CRP,crp,Cpr76Bb,34956,40121,BIOGRID
67,CRP,mbl,crp,36945,34956,BIOGRID
68,CRP,CRP,CFH,1401,3075,BIOGRID
69,CRP,CRP,C1QA,1401,712,BIOGRID
70,CRP,CRP,SNRNP70,1401,6625,BIOGRID
71,CRP,FN1,CRP,2335,1401,BIOGRID
72,CRP,CRP,APCS,1401,325,BIOGRID
73,CRP,EGFR,CSRP1,1956,1465,BIOGRID
74,CRP,MAPK3,CRP,5595,1401,BIOGRID
75,CRP,CSRP1,APP,1465,351,BIOGRID
76,CRP,CRP,HIST1H1A,1401,3024,BIOGRID
77,CRP,CRP,HIST2H2AC,1401,8338,BIOGRID
78,CRP,GRB2,CSRP1,2885,1465,BIOGRID
79,CRP,ACTN1,CSRP1,87,1465,BIOGRID
80,CRP,ird5,crp,44432,34956,BIOGRID
81,CRP,Tab2,crp,37216,34956,BIOGRID
82,CRP,Dredd,crp,31011,34956,BIOGRID
83,CRP,imd,crp,44339,34956,BIOGRID
84,CRP,BAG3,CSRP1,9531,1465,BIOGRID
85,CRP,CRP,LAMC3,1401,10319,BIOGRID
86,CRP,CRP,GLUD1,1401,2746,BIOGRID
87,CRP,CRP,MAPK1,1401,5594,BIOGRID
88,CRP,CRP,DGCR14,1401,8220,BIOGRID
89,CRP,CRP,RPL13A,1401,23521,BIOGRID
90,CRP,CSRP1,YBX3,1465,8531,BIOGRID
91,CRP,CSRP1,MACF1,1465,23499,BIOGRID
92,CRP,CSRP1,PRKAR2A,1465,5576,BIOGRID
93,CRP,CRP,GMPPA,1401,29926,BIOGRID
94,CRP,SUZ12,CSRP1,23512,1465,BIOGRID
95,CRP,RNF2,CSRP1,6045,1465,BIOGRID
96,CRP,BMI1,CSRP1,648,1465,BIOGRID
97,CRP,ACAA2,CSRP1,10449,1465,BIOGRID
98,CRP,CFL1,CSRP1,1072,1465,BIOGRID
99,CRP,HSPB1,CSRP1,3315,1465,BIOGRID
100,CRP,NUP214,CSRP1,8021,1465,BIOGRID
101,CRP,UFM1,CSRP1,51569,1465,BIOGRID
102,CRP,CSRP1,FUBP3,1465,8939,BIOGRID
103,CRP,CSRP1,TALDO1,1465,6888,BIOGRID
104,CRP,MAPK8IP2,CRP,23542,1401,BIOGRID
105,CRP,ESR1,CSRP1,2099,1465,BIOGRID
106,CRP,CNTRL,CSRP1,11064,1465,BIOGRID
107,CRP,ASCC2,CSRP1,84164,1465,BIOGRID
108,CRP,ASCC1,CSRP1,51008,1465,BIOGRID
109,CRP,TRIP4,CSRP1,9325,1465,BIOGRID
110,CRP,CRP,CHST3,1401,9469,BIOGRID
111,CRP,CRP,LAMA5,1401,3911,BIOGRID
112,CRP,CRP,PRSS23,1401,11098,BIOGRID
113,CRP,CRP,TMEM2,1401,23670,BIOGRID
114,CRP,CRP,AGRN,1401,375790,BIOGRID
115,CRP,CRP,SPTB,1401,6710,BIOGRID
116,CRP,CRP,GDF11,1401,10220,BIOGRID
117,CRP,CRP,C1GALT1,1401,56913,BIOGRID
118,CRP,CRP,UBR3,1401,130507,BIOGRID
119,CRP,CRP,QSOX1,1401,5768,BIOGRID
120,CRP,CRP,COL18A1,1401,80781,BIOGRID
121,CRP,CRP,TIMP3,1401,7078,BIOGRID
122,CRP,CRP,LAMA1,1401,284217,BIOGRID
123,CRP,CRP,CA11,1401,770,BIOGRID
124,CRP,CRP,RPL23,1401,9349,BIOGRID
125,CRP,CRP,NXPE3,1401,91775,BIOGRID
126,CRP,CRP,CNTNAP3,1401,79937,BIOGRID
127,CRP,CRP,PDF,1401,64146,BIOGRID
128,CRP,CRP,PTPRS,1401,5802,BIOGRID
129,CRP,CRP,ST3GAL4,1401,6484,BIOGRID
130,CRP,CRP,LAMB1,1401,3912,BIOGRID
131,CRP,CRP,B4GALT7,1401,11285,BIOGRID
132,CRP,CRP,EXT1,1401,2131,BIOGRID
133,CRP,CRP,CHST12,1401,55501,BIOGRID
134,CRP,CRP,B4GALT5,1401,9334,BIOGRID
135,CRP,CRP,STRBP,1401,55342,BIOGRID
136,CRP,CRP,NDST2,1401,8509,BIOGRID
137,CRP,CRP,HS6ST1,1401,9394,BIOGRID
138,CRP,CRP,B4GALT3,1401,8703,BIOGRID
139,CRP,CRP,RPL26L1,1401,51121,BIOGRID
140,CRP,CRP,STC2,1401,8614,BIOGRID
141,CRP,CRP,COL4A2,1401,1284,BIOGRID
142,CRP,CRP,LAMB2,1401,3913,BIOGRID
143,CRP,CRP,IMPAD1,1401,54928,BIOGRID
144,CRP,Myo10A,crp,32028,34956,FLYBASE
145,CRP,crp,Myo10A,34956,32028,FLYBASE
146,CRP,Hspb2,Crip2,69253,68337,BIOGRID
147,CRP,brnQ,crp,12930825,12933934,BIOGRID
148,CRP,cls,crp,12931118,12933934,BIOGRID
149,CRP,copA,crp,12932342,12933934,BIOGRID
150,CRP,lgt,crp,12934282,12933934,BIOGRID
151,CRP,lolD,crp,12931094,12933934,BIOGRID
152,CRP,yfgF,crp,12931591,12933934,BIOGRID
153,CRP,yebQ,crp,12930161,12933934,BIOGRID
154,CRP,crp,yicJ,12933934,12932982,BIOGRID
155,CRP,crp,dppA,12933934,12930534,BIOGRID
156,CRP,crp,fecB,12933934,12932568,BIOGRID
157,CRP,ybiO,crp,12931830,12933934,BIOGRID
158,CRP,ushA,crp,12930849,12933934,BIOGRID
159,CRP,napB,crp,12933230,12933934,BIOGRID
160,CRP,napA,crp,12933227,12933934,BIOGRID
161,CRP,yojL,crp,12932928,12933934,BIOGRID
162,CRP,TES,CSRP1,26136,1465,BIOGRID
163,CTLA4,CTLA4,CD80,1493,941,BIOGRID
164,CTLA4,AP2M1,CTLA4,1173,1493,BIOGRID
165,CTLA4,CTLA4,CD86,1493,942,BIOGRID
166,CTLA4,Ctla4,Ap2m1,12477,11773,BIOGRID
167,CTLA4,Ctla4,Ap2m1,12477,11773,BIOGRID
168,CTLA4,Ctla4,Ap2m1,12477,11773,BIOGRID
169,CTLA4,CD80,CTLA4,941,1493,BIOGRID
170,CTLA4,CTLA4,FYN,1493,2534,BIOGRID
171,CTLA4,CTLA4,LCK,1493,3932,BIOGRID
172,CTLA4,CTLA4,LYN,1493,4067,BIOGRID
173,CTLA4,CTLA4,PPP2R5A,1493,5525,BIOGRID
174,CTLA4,CTLA4,PPP2R5A,1493,5525,BIOGRID
175,CTLA4,CTLA4,AP2M1,1493,1173,BIOGRID
176,CTLA4,CTLA4,AP2M1,1493,1173,BIOGRID
177,CTLA4,CTLA4,AP2M1,1493,1173,BIOGRID
178,CTLA4,CTLA4,JAK2,1493,3717,BIOGRID
179,CTLA4,ELAVL1,CTLA4,1994,1493,BIOGRID
180,CTLA4,CD80,CTLA4,941,1493,BIOGRID
181,CTLA4,CTLA4,CD86,1493,942,BIOGRID
182,CTLA4,CTLA4,CD80,1493,941,BIOGRID
183,CTLA4,CTLA4,AP2M1,1493,1173,BIOGRID
184,CTLA4,CD86,CTLA4,942,1493,BIOGRID
185,CTLA4,FYN,CTLA4,2534,1493,BIOGRID
186,CTLA4,STAT5A,CTLA4,6776,1493,BIOGRID
187,CTLA4,STAT5B,CTLA4,6777,1493,BIOGRID
188,DNASE1,CG12171,DNaseII,40690,48228,BIOGRID
189,DNASE1,DNaseII,Rrp47,48228,32558,BIOGRID
190,DNASE1,Best1,DNaseII,53431,48228,BIOGRID
191,DNASE1,DNaseII,TpnC73F,48228,39916,BIOGRID
192,DNASE1,ACTA1,DNASE1,58,1773,BIOGRID
193,DNASE1,DNaseII,regucalcin,48228,32165,BIOGRID
194,DNASE1,awd,DNaseII,43739,48228,BIOGRID
195,DNASE1,Drep-1,DNaseII,36290,48228,FLYBASE
196,DNASE1,DNaseII,eya,48228,33916,FLYBASE
197,DNASE1,DNaseII,Drep-1,48228,36290,FLYBASE
198,DNASE1,DNaseII,Drep-1,48228,36290,FLYBASE
199,DNASE1,TRIM25,DNASE1,7706,1773,BIOGRID
200,FCGR2B,FCGR2B,SHC1,2213,6464,BIOGRID
201,FCGR2B,FCGR2B,PTPN11,2213,5781,BIOGRID
202,FCGR2B,Trim21,Fcgr2b,20821,14130,BIOGRID
203,FCGR2B,Trim21,Fcgr2b,20821,14130,BIOGRID
204,FCGR2B,Inpp5d,Fcgr2b,54259,289211,BIOGRID
205,FCGR2B,Fcgr2b,Dok1,14130,13448,BIOGRID
206,FCGR2B,FCGR2B,FCGR2A,2213,2212,BIOGRID
207,FCGR2B,FCGR2B,MARS2,2213,92935,BIOGRID
208,FCGR2B,FCGR2B,GSK3A,2213,2931,BIOGRID
209,FCGR2B,FCGR2B,GSK3A,2213,2931,BIOGRID
210,FCGR2B,FCGR2B,FCGR2A,2213,2212,BIOGRID
211,FCGR2B,FCGR2B,MARS2,2213,92935,BIOGRID
212,IRF5,IRF3,IRF5,3661,3663,BIOGRID
213,IRF5,IRF5,TRIM15,3663,89870,BIOGRID
214,IRF5,Irf5,Zfp764,27056,233893,BIOGRID
215,IRF5,NCOR1,IRF5,9611,3663,BIOGRID
216,IRF5,HDAC1,IRF5,3065,3663,BIOGRID
217,IRF5,SIN3A,IRF5,25942,3663,BIOGRID
218,IRF5,NCOR2,IRF5,9612,3663,BIOGRID
219,IRF5,EP300,IRF5,2033,3663,BIOGRID
220,IRF5,CREBBP,IRF5,1387,3663,BIOGRID
221,IRF5,KAT2B,IRF5,8850,3663,BIOGRID
222,IRF5,IRF5,SIN3A,3663,25942,BIOGRID
