,Gene,Official_A,Official_B,UniProt_A,UniProt_B,Source
0,TBC1D24,TP53,TBC1D24,7157,57465,BIOGRID
1,TBC1D24,TRIM25,TBC1D24,7706,57465,BIOGRID
2,KIF7,MED4,KIF7,29079,374654,BIOGRID
3,KIF7,SSX2IP,KIF7,117178,374654,BIOGRID
4,KIF7,KIAA0753,KIF7,9851,374654,BIOGRID
5,KIF7,CNTRL,KIF7,11064,374654,BIOGRID
6,KIF7,KIF7,APC,374654,324,BIOGRID
7,KIF7,KIF7,PIBF1,374654,10464,BIOGRID
8,KIF7,KIF7,CEP131,374654,22994,BIOGRID
9,KIF7,KIF7,TBC1D31,374654,93594,BIOGRID
10,KIF7,KIF7,SSX2IP,374654,117178,BIOGRID
11,KIF7,CINP,KIF7,51550,374654,BIOGRID
12,KIF7,LZTS2,KIF7,84445,374654,BIOGRID
13,KIF7,EGLN3,KIF7,112399,374654,BIOGRID
14,MCU,ELAVL1,MCU,1994,90550,BIOGRID
15,MCU,GNAI2,MCU,2771,90550,BIOGRID
16,MCU,NDUFA9,MCU,4704,90550,BIOGRID
17,MCU,GNAI2,MCU,2771,90550,BIOGRID
18,MCU,SLC15A1,MCU,6564,90550,BIOGRID
19,MCU,SMDT1,MCU,91689,90550,BIOGRID
20,MCU,TRIM25,MCU,7706,90550,BIOGRID
21,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
22,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
23,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
24,YWHAZ,YWHAZ,TP53,7534,7157,BIOGRID
25,YWHAZ,YWHAZ,TP53,7534,7157,BIOGRID
26,YWHAZ,RAF1,YWHAZ,5894,7534,BIOGRID
27,YWHAZ,RAF1,YWHAZ,5894,7534,BIOGRID
28,YWHAZ,MAP3K5,YWHAZ,4217,7534,BIOGRID
29,YWHAZ,CBL,YWHAZ,867,7534,BIOGRID
30,YWHAZ,RAF1,YWHAZ,5894,7534,BIOGRID
31,YWHAZ,YWHAZ,RGS3,7534,5998,BIOGRID
32,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
33,YWHAZ,CDK16,YWHAZ,5127,7534,BIOGRID
34,YWHAZ,YWHAZ,YWHAE,7534,7531,BIOGRID
35,YWHAZ,YWHAZ,COPS5,7534,10987,BIOGRID
36,YWHAZ,YWHAZ,NEDD4L,7534,23327,BIOGRID
37,YWHAZ,YWHAQ,YWHAZ,10971,7534,BIOGRID
38,YWHAZ,YWHAZ,TRIM21,7534,6737,BIOGRID
39,YWHAZ,YWHAZ,UBC,7534,7316,BIOGRID
40,YWHAZ,EGFR,YWHAZ,1956,7534,BIOGRID
41,YWHAZ,OPTN,YWHAZ,10133,7534,BIOGRID
42,YWHAZ,YWHAZ,YWHAE,7534,7531,BIOGRID
43,YWHAZ,YWHAE,YWHAZ,7531,7534,BIOGRID
44,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
45,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
46,YWHAZ,YWHAZ,CBL,7534,867,BIOGRID
47,YWHAZ,COPS5,YWHAZ,10987,7534,BIOGRID
48,YWHAZ,YWHAZ,ERRFI1,7534,54206,BIOGRID
49,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
50,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
51,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
52,YWHAZ,YWHAZ,CBL,7534,867,BIOGRID
53,YWHAZ,LRRK2,YWHAZ,120892,7534,BIOGRID
54,YWHAZ,YWHAE,YWHAZ,7531,7534,BIOGRID
55,YWHAZ,BRCA1,YWHAZ,672,7534,BIOGRID
56,YWHAZ,NCOR1,YWHAZ,9611,7534,BIOGRID
57,YWHAZ,VCP,YWHAZ,7415,7534,BIOGRID
58,YWHAZ,FN1,YWHAZ,2335,7534,BIOGRID
59,YWHAZ,YWHAE,YWHAZ,7531,7534,BIOGRID
60,YWHAZ,GRB2,YWHAZ,2885,7534,BIOGRID
61,YWHAZ,Ubc,Ywhaz,50522,25578,BIOGRID
62,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
63,YWHAZ,RAF1,YWHAZ,5894,7534,BIOGRID
64,YWHAZ,SQSTM1,YWHAZ,8878,7534,BIOGRID
65,YWHAZ,YWHAZ,RAF1,7534,5894,BIOGRID
66,YWHAZ,BAG3,YWHAZ,9531,7534,BIOGRID
67,YWHAZ,YWHAZ,BAG3,7534,9531,BIOGRID
68,YWHAZ,BAG3,YWHAZ,9531,7534,BIOGRID
69,YWHAZ,EGFR,YWHAZ,1956,7534,BIOGRID
70,YWHAZ,VCP,YWHAZ,7415,7534,BIOGRID
71,YWHAZ,YWHAE,YWHAZ,7531,7534,BIOGRID
72,YWHAZ,TAB2,YWHAZ,23118,7534,BIOGRID
73,YWHAZ,SSX2IP,YWHAZ,117178,7534,BIOGRID
74,YWHAZ,Gja1,Ywhaz,24392,25578,BIOGRID
75,YWHAZ,YWHAB,YWHAZ,7529,7534,BIOGRID
76,YWHAZ,YWHAZ,LRRK2,7534,120892,BIOGRID
77,YWHAZ,YWHAZ,YWHAE,7534,7531,BIOGRID
78,YWHAZ,YWHAZ,YWHAG,7534,7532,BIOGRID
79,YWHAZ,YWHAZ,YWHAH,7534,7533,BIOGRID
80,YWHAZ,YWHAZ,YWHAQ,7534,10971,BIOGRID
81,YWHAZ,MOV10,YWHAZ,4343,7534,BIOGRID
82,YWHAZ,NXF1,YWHAZ,10482,7534,BIOGRID
83,YWHAZ,EGFR,YWHAZ,1956,7534,BIOGRID
84,YWHAZ,MAP3K5,YWHAZ,4217,7534,BIOGRID
85,YWHAZ,CDK16,YWHAZ,5127,7534,BIOGRID
86,YWHAZ,RAF1,YWHAZ,5894,7534,BIOGRID
87,YWHAZ,MTOR,YWHAZ,2475,7534,BIOGRID
88,YWHAZ,HSPB1,YWHAZ,3315,7534,BIOGRID
89,YWHAZ,YWHAZ,YWHAB,7534,7529,BIOGRID
90,YWHAZ,YWHAZ,YWHAG,7534,7532,BIOGRID
91,YWHAZ,YWHAE,YWHAZ,7531,7534,BIOGRID
92,YWHAZ,YWHAH,YWHAZ,7533,7534,BIOGRID
93,YWHAZ,YWHAZ,XPO1,7534,7514,BIOGRID
94,YWHAZ,YWHAZ,YWHAB,7534,7529,BIOGRID
95,YWHAZ,YWHAZ,YWHAE,7534,7531,BIOGRID
96,YWHAZ,YWHAZ,YWHAG,7534,7532,BIOGRID
97,YWHAZ,YWHAZ,YWHAH,7534,7533,BIOGRID
98,YWHAZ,YWHAH,YWHAZ,7533,7534,BIOGRID
99,YWHAZ,YWHAZ,YWHAQ,7534,10971,BIOGRID
100,YWHAZ,YWHAZ,B4GALT7,7534,11285,BIOGRID
101,YWHAZ,YWHAZ,SDF4,7534,51150,BIOGRID
102,YWHAZ,YWHAZ,COPS7B,7534,64708,BIOGRID
103,YWHAZ,EGFR,YWHAZ,1956,7534,BIOGRID
104,YWHAZ,EGFR,YWHAZ,1956,7534,BIOGRID
105,YWHAZ,MCM2,YWHAZ,4171,7534,BIOGRID
106,YWHAZ,YWHAZ,KIF11,7534,3832,BIOGRID
107,YWHAZ,YWHAZ,TBC1D4,7534,9882,BIOGRID
108,YWHAZ,TBC1D4,YWHAZ,9882,7534,BIOGRID
109,YWHAZ,EP300,YWHAZ,2033,7534,BIOGRID
