,UniProt1,UniProt2,symbol1,symbol2,evidence type
0,A0PJW6,Q15116,TMEM223,PDCD1,exp
1,A1KZ92,P19878,PXDNL,NCF2,pred
2,A1X283,P19878,SH3PXD2B,NCF2,pred
3,A2BHY4,P0C0L4,-,C4A,pred
4,A2BHY4,P0C0L5,-,C4B;C4B_2,pred
5,A2RUT3,P0C0L4,TMEM89,C4A,exp
6,A4D1F6,Q13546,LRRD1,RIPK1,pred
7,A4FU49,P19878,SH3D21,NCF2,pred
8,A5PKW4,O95267,PSD,RASGRP1,pred
9,A6NI72,P19878,NCF1B,NCF2,pred
10,A6NJZ7,P19878,RIMBP3C,NCF2,pred
11,A6NK59,O95267,ASB14,RASGRP1,pred
12,A6NMZ7,P11215,COL6A6,ITGAM,pred
13,A6NNM3,P19878,RIMBP3B,NCF2,pred
14,A6ZKI3,Q15116,RTL8C,PDCD1,exp
15,A7KAX9,P19878,ARHGAP32,NCF2,pred
16,A8MVU1,P19878,NCF1C,NCF2,pred
17,A8TX70,P11215,COL6A5,ITGAM,pred
18,C3PTT6,O60602,PAUF,TLR5,exp
19,O00115,P24855,DNASE2,DNASE1,pred
20,O00141,P21580,SGK1,TNFAIP3,pred
21,O00159,Q13546,MYO1C,RIPK1,pred
22,O00160,P19878,MYO1F,NCF2,pred
23,O00165,Q9Y2R2,HAX1,PTPN22,exp
24,O00178,Q13568,GTPBP1,IRF5,exp
25,O00182,O60602,LGALS9,TLR5,pred
26,O00187,P0C0L4,MASP2,C4A,exp;pred
27,O00187,P0C0L5,MASP2,C4B;C4B_2,exp;pred
28,O00187,P19878,MASP2,NCF2,pred
29,O00206,O60602,TLR4,TLR5,exp;pred
30,O00206,Q13546,TLR4,RIPK1,ortho;pred
31,O00206,Q13568,TLR4,IRF5,pred
32,O00213,O95267,APBB1,RASGRP1,pred
33,O00214,P0C0L4,LGALS8,C4A,exp
34,O00220,Q13546,TNFRSF10A,RIPK1,exp;pred
35,O00221,P21580,NFKBIE,TNFAIP3,pred
36,O00254,P11215,F2RL2,ITGAM,pred
37,O00273,P21580,DFFA,TNFAIP3,pred
38,O00273,P24855,DFFA,DNASE1,pred
39,O00273,Q13609,DFFA,DNASE1L3,pred
40,O00308,P23510,WWP2,TNFSF4,pred
41,O00308,Q13546,WWP2,RIPK1,pred
42,O00329,P16410,PIK3CD,CTLA4,pred
43,O00329,P29376,PIK3CD,LTK,pred
44,O00391,P02741,QSOX1,CRP,exp
45,O00401,Q9Y2R2,WASL,PTPN22,pred
46,O00429,Q13546,DNM1L,RIPK1,ortho
47,O00453,P19878,LST1,NCF2,pred
48,O00459,P16410,PIK3R2,CTLA4,pred
49,O00459,P29376,PIK3R2,LTK,pred
50,O00459,P31994,PIK3R2,FCGR2B,pred
51,O00459,Q13546,PIK3R2,RIPK1,pred
52,O00459,Q9Y2R2,PIK3R2,PTPN22,pred
53,O00463,P21580,TRAF5,TNFAIP3,pred
54,O00463,P23510,TRAF5,TNFSF4,pred
55,O00463,Q13546,TRAF5,RIPK1,exp;pred
56,O00468,P02741,AGRN,CRP,exp;pred
57,O00478,P11215,BTN3A3,ITGAM,pred
58,O00478,P16410,BTN3A3,CTLA4,pred
59,O00570,P24855,SOX1,DNASE1,pred
60,O00571,Q13546,DDX3X,RIPK1,pred
61,O00634,P0C0L4,NTN3,C4A,pred
62,O00635,P21580,TRIM38,TNFAIP3,pred
63,O00635,Q13546,TRIM38,RIPK1,exp;pred
64,O00743,Q13546,PPP6C,RIPK1,ortho;pred
65,O00750,P29376,PIK3C2B,LTK,exp
66,O14492,O95267,SH2B2,RASGRP1,pred
67,O14492,P0C0L5,SH2B2,C4B;C4B_2,pred
68,O14492,Q13546,SH2B2,RIPK1,pred
69,O14492,Q9Y2R2,SH2B2,PTPN22,pred
70,O14508,O95267,SOCS2,RASGRP1,pred
71,O14512,O95267,SOCS7,RASGRP1,pred
72,O14512,Q14765,SOCS7,STAT4,pred
73,O14522,Q9Y2R2,PTPRT,PTPN22,pred
74,O14543,O95267,SOCS3,RASGRP1,pred
75,O14543,P19878,SOCS3,NCF2,pred
76,O14543,Q13546,SOCS3,RIPK1,pred
77,O14544,O95267,SOCS6,RASGRP1,pred
78,O14544,P19878,SOCS6,NCF2,pred
79,O14544,P29376,SOCS6,LTK,pred
80,O14544,Q14765,SOCS6,STAT4,pred
81,O14562,P19878,UBFD1,NCF2,pred
82,O14578,P29376,CIT,LTK,pred
83,O14594,P0C0L4,NCAN,C4A,pred
84,O14618,P19878,CCS,NCF2,pred
85,O14641,Q13546,DVL2,RIPK1,pred
86,O14649,P21580,KCNK3,TNFAIP3,pred
87,O14654,P29376,IRS4,LTK,pred
88,O14672,P11215,ADAM10,ITGAM,pred
89,O14733,Q13546,MAP2K7,RIPK1,pred
90,O14757,Q13546,CHEK1,RIPK1,pred
91,O14763,P21580,TNFRSF10B,TNFAIP3,exp
92,O14763,Q13546,TNFRSF10B,RIPK1,exp;pred
93,O14788,P23510,TNFSF11,TNFSF4,pred
94,O14788,Q14765,TNFSF11,STAT4,pred
95,O14791,P19878,APOL1,NCF2,pred
96,O14796,Q14765,SH2D1B,STAT4,exp
97,O14807,O95267,MRAS,RASGRP1,pred
98,O14827,O95267,RASGRF2,RASGRP1,pred
99,O14836,P21580,TNFRSF13B,TNFAIP3,pred
100,O14896,Q13568,IRF6,IRF5,exp;pred
101,O14896,Q14765,IRF6,STAT4,pred
102,O14920,P11215,IKBKB,ITGAM,pred
103,O14920,P21580,IKBKB,TNFAIP3,exp;pred
104,O14920,Q13546,IKBKB,RIPK1,exp;pred
105,O14920,Q13568,IKBKB,IRF5,pred
106,O14931,O60602,NCR3,TLR5,pred
107,O14931,P0C0L5,NCR3,C4B;C4B_2,pred
108,O14931,P20023,NCR3,CR2,pred
109,O14936,Q13546,CASK,RIPK1,pred
110,O14939,P11215,PLD2,ITGAM,pred
111,O14944,O60602,EREG,TLR5,pred
112,O14944,P19878,EREG,NCF2,pred
113,O14948,P19878,TFEC,NCF2,pred
114,O14974,Q13546,PPP1R12A,RIPK1,pred
115,O14976,P16410,GAK,CTLA4,pred
116,O14980,Q13546,XPO1,RIPK1,exp
