,interactor
0,MYL6B
1,DAP3
2,PTPN13
3,MAP3K9
4,SH2D2A
5,NEK2
6,PIBF1
7,TRAF4
8,C1R
9,STAP2
10,MAP3K10
11,LY86
12,CCDC50
13,MYBPC1
14,HIST1H4C
15,ME2
16,DNM3
17,LILRA3
18,THBD
19,MYO1B
20,SYTL1
21,ICOSLG
22,FCMR
23,HLA-A
24,TNIP2
25,CALU
26,HCLS1
27,RAB40C
28,RPS19BP1
29,POU3F3
30,IRF9
31,HRAS
32,MYBPC2
33,DCDC2
34,IFNAR2
35,TNIK
36,DEDD2
37,IKBKB
38,CSMD2
39,RPS3
40,CASS4
41,CRTAM
42,FCGR2C
43,MARS2
44,CSF3R
45,ALB
46,MAP4K4
47,TRIM27
48,PTPRB
49,TUBGCP4
50,MATK
51,HS6ST1
52,MAST3
53,ZKSCAN7
54,ORM2
55,STAT6
56,ATP7A
57,BCL2L1
58,EGFR
59,COTL1
60,AQP9
61,TNFAIP8
62,GK
63,APCS
64,ARHGAP32
65,TTBK1
66,IFT57
67,CLTC
68,FOXO3
69,LGALS3BP
70,LAMB2
71,MAN1A2
72,TRAF3IP2
73,CTSB
74,QSOX1
75,TGOLN2
76,TBC1D31
77,RAD21
78,CADM1
79,HSF1
80,IRF4
81,MICB
82,PRKCG
83,SPTB
84,SNRNP200
85,THY1
86,FLNA
87,RAB40A
88,TNFAIP6
89,SH2B2
90,SETDB1
91,YME1L1
92,GMPPA
93,NFATC1
94,TLN2
95,CORO1C
96,RNF166
97,TESK1
98,ITGA3
99,MAPK9
100,BCAP31
101,ADAM12
102,CD79B
103,TUBB3
104,DCHS1
105,ROR2
106,INSR
107,TRPV6
108,IRAK4
109,NLRP12
110,TAF1A
111,RET
112,MAVS
113,CASP4
114,PKHD1
115,PFKL
116,KIF11
117,EBI3
118,PIK3C2B
119,ZBP1
120,MMP20
121,CD7
122,CAMSAP3
123,HSPG2
124,MCU
125,C1RL
126,RNF135
127,XRCC6
128,WNK4
129,CD40
130,JUN
131,CRK
132,GNB1
133,CDC25C
134,B2M
135,HIF1A
