,id,A Symbol,B Symbol,A UniProt,B UniProt,DB Source
0,Tab2,TAB2,RIPK1,Q9NYJ8,Q13546,BIOGRID
1,Tab2,TAB2,RIPK1,Q9NYJ8,Q13546,BIOGRID
2,Ctla4,AP2M1,CTLA4,Q96CW1,P16410,BIOGRID
3,Ctla4,CD80,CTLA4,P33681,P16410,BIOGRID
4,Ctla4,ELAVL1,CTLA4,Q15717,P16410,BIOGRID
5,Ctla4,CD80,CTLA4,P33681,P16410,BIOGRID
6,Ctla4,CD86,CTLA4,P42081,P16410,BIOGRID
7,Ctla4,FYN,CTLA4,P06241,P16410,BIOGRID
8,Ctla4,STAT5A,CTLA4,P42229,P16410,BIOGRID
9,Ctla4,STAT5B,CTLA4,P51692,P16410,BIOGRID
10,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
11,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
12,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
13,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
14,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
15,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
16,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
17,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
18,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
19,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
20,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
21,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
22,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
23,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
24,Traf2,TRAF2,RIPK1,Q12933,Q13546,BIOGRID
25,Ripk1,RIPK3,RIPK1,Q9Y572,Q13546,BIOGRID
26,Ripk1,TICAM1,RIPK1,Q8IUC6,Q13546,BIOGRID
