'Time and date','Cz..'
'hh:mm:ss.mmm dd/mm/yyyy','uV'
'[16:15:00.000 12/08/2009]',46.000
'[16:15:00.006 12/08/2009]',55.000
'[16:15:00.013 12/08/2009]',42.000
'[16:15:00.019 12/08/2009]',47.000
'[16:15:00.025 12/08/2009]',41.000
'[16:15:00.031 12/08/2009]',55.000
'[16:15:00.038 12/08/2009]',86.000
'[16:15:00.044 12/08/2009]',77.000
'[16:15:00.050 12/08/2009]',129.000
'[16:15:00.056 12/08/2009]',142.000
'[16:15:00.063 12/08/2009]',189.000
'[16:15:00.069 12/08/2009]',268.000
'[16:15:00.075 12/08/2009]',308.000
'[16:15:00.081 12/08/2009]',255.000
'[16:15:00.088 12/08/2009]',209.000
'[16:15:00.094 12/08/2009]',162.000
'[16:15:00.100 12/08/2009]',146.000
'[16:15:00.106 12/08/2009]',118.000
'[16:15:00.113 12/08/2009]',115.000
'[16:15:00.119 12/08/2009]',110.000
'[16:15:00.125 12/08/2009]',89.000
'[16:15:00.131 12/08/2009]',82.000
'[16:15:00.138 12/08/2009]',63.000
'[16:15:00.144 12/08/2009]',44.000
'[16:15:00.150 12/08/2009]',14.000
'[16:15:00.156 12/08/2009]',27.000
'[16:15:00.163 12/08/2009]',21.000
'[16:15:00.169 12/08/2009]',49.000
'[16:15:00.175 12/08/2009]',50.000
'[16:15:00.181 12/08/2009]',55.000
'[16:15:00.188 12/08/2009]',54.000
'[16:15:00.194 12/08/2009]',53.000
'[16:15:00.200 12/08/2009]',56.000
'[16:15:00.206 12/08/2009]',50.000
'[16:15:00.213 12/08/2009]',56.000
'[16:15:00.219 12/08/2009]',73.000
'[16:15:00.225 12/08/2009]',68.000
'[16:15:00.231 12/08/2009]',68.000
'[16:15:00.238 12/08/2009]',63.000
'[16:15:00.244 12/08/2009]',34.000
'[16:15:00.250 12/08/2009]',29.000
'[16:15:00.256 12/08/2009]',13.000
'[16:15:00.263 12/08/2009]',26.000
'[16:15:00.269 12/08/2009]',20.000
'[16:15:00.275 12/08/2009]',34.000
'[16:15:00.281 12/08/2009]',51.000
'[16:15:00.288 12/08/2009]',64.000
'[16:15:00.294 12/08/2009]',64.000
'[16:15:00.300 12/08/2009]',74.000
'[16:15:00.306 12/08/2009]',71.000
'[16:15:00.313 12/08/2009]',83.000
'[16:15:00.319 12/08/2009]',93.000
'[16:15:00.325 12/08/2009]',83.000
'[16:15:00.331 12/08/2009]',86.000
'[16:15:00.338 12/08/2009]',66.000
'[16:15:00.344 12/08/2009]',64.000
'[16:15:00.350 12/08/2009]',51.000
'[16:15:00.356 12/08/2009]',13.000
'[16:15:00.363 12/08/2009]',10.000
'[16:15:00.369 12/08/2009]',13.000
'[16:15:00.375 12/08/2009]',12.000
'[16:15:00.381 12/08/2009]',18.000
'[16:15:00.388 12/08/2009]',15.000
'[16:15:00.394 12/08/2009]',4.000
'[16:15:00.400 12/08/2009]',23.000
'[16:15:00.406 12/08/2009]',52.000
'[16:15:00.413 12/08/2009]',49.000
'[16:15:00.419 12/08/2009]',41.000
'[16:15:00.425 12/08/2009]',54.000
'[16:15:00.431 12/08/2009]',67.000
'[16:15:00.438 12/08/2009]',108.000
'[16:15:00.444 12/08/2009]',92.000
'[16:15:00.450 12/08/2009]',112.000
'[16:15:00.456 12/08/2009]',112.000
'[16:15:00.463 12/08/2009]',112.000
'[16:15:00.469 12/08/2009]',133.000
'[16:15:00.475 12/08/2009]',103.000
'[16:15:00.481 12/08/2009]',100.000
'[16:15:00.488 12/08/2009]',77.000
'[16:15:00.494 12/08/2009]',40.000
'[16:15:00.500 12/08/2009]',36.000
'[16:15:00.506 12/08/2009]',33.000
'[16:15:00.513 12/08/2009]',10.000
'[16:15:00.519 12/08/2009]',16.000
'[16:15:00.525 12/08/2009]',20.000
'[16:15:00.531 12/08/2009]',-8.000
'[16:15:00.538 12/08/2009]',-12.000
'[16:15:00.544 12/08/2009]',-4.000
'[16:15:00.550 12/08/2009]',-12.000
'[16:15:00.556 12/08/2009]',7.000
'[16:15:00.563 12/08/2009]',-5.000
'[16:15:00.569 12/08/2009]',-6.000
'[16:15:00.575 12/08/2009]',-3.000
'[16:15:00.581 12/08/2009]',10.000
'[16:15:00.588 12/08/2009]',4.000
'[16:15:00.594 12/08/2009]',2.000
'[16:15:00.600 12/08/2009]',14.000
'[16:15:00.606 12/08/2009]',27.000
'[16:15:00.613 12/08/2009]',26.000
'[16:15:00.619 12/08/2009]',51.000
'[16:15:00.625 12/08/2009]',55.000
'[16:15:00.631 12/08/2009]',57.000
'[16:15:00.638 12/08/2009]',51.000
'[16:15:00.644 12/08/2009]',15.000
'[16:15:00.650 12/08/2009]',12.000
'[16:15:00.656 12/08/2009]',2.000
'[16:15:00.663 12/08/2009]',1.000
'[16:15:00.669 12/08/2009]',-20.000
'[16:15:00.675 12/08/2009]',-65.000
'[16:15:00.681 12/08/2009]',-61.000
'[16:15:00.688 12/08/2009]',-61.000
'[16:15:00.694 12/08/2009]',-52.000
'[16:15:00.700 12/08/2009]',-45.000
'[16:15:00.706 12/08/2009]',-41.000
'[16:15:00.713 12/08/2009]',-44.000
'[16:15:00.719 12/08/2009]',-38.000
'[16:15:00.725 12/08/2009]',-51.000
'[16:15:00.731 12/08/2009]',-42.000
'[16:15:00.738 12/08/2009]',-47.000
'[16:15:00.744 12/08/2009]',-54.000
'[16:15:00.750 12/08/2009]',-50.000
'[16:15:00.756 12/08/2009]',-51.000
'[16:15:00.763 12/08/2009]',-64.000
'[16:15:00.769 12/08/2009]',-23.000
'[16:15:00.775 12/08/2009]',-22.000
'[16:15:00.781 12/08/2009]',-34.000
'[16:15:00.788 12/08/2009]',-33.000
'[16:15:00.794 12/08/2009]',-55.000
'[16:15:00.800 12/08/2009]',-60.000
'[16:15:00.806 12/08/2009]',-32.000
'[16:15:00.813 12/08/2009]',-33.000
'[16:15:00.819 12/08/2009]',-4.000
'[16:15:00.825 12/08/2009]',17.000
'[16:15:00.831 12/08/2009]',14.000
'[16:15:00.838 12/08/2009]',32.000
'[16:15:00.844 12/08/2009]',32.000
'[16:15:00.850 12/08/2009]',50.000
'[16:15:00.856 12/08/2009]',51.000
'[16:15:00.863 12/08/2009]',30.000
'[16:15:00.869 12/08/2009]',26.000
'[16:15:00.875 12/08/2009]',12.000
'[16:15:00.881 12/08/2009]',11.000
'[16:15:00.888 12/08/2009]',-1.000
'[16:15:00.894 12/08/2009]',-43.000
'[16:15:00.900 12/08/2009]',-32.000
'[16:15:00.906 12/08/2009]',-41.000
'[16:15:00.913 12/08/2009]',-36.000
'[16:15:00.919 12/08/2009]',-21.000
'[16:15:00.925 12/08/2009]',-22.000
'[16:15:00.931 12/08/2009]',-16.000
'[16:15:00.938 12/08/2009]',-29.000
'[16:15:00.944 12/08/2009]',-58.000
'[16:15:00.950 12/08/2009]',-48.000
'[16:15:00.956 12/08/2009]',-49.000
'[16:15:00.963 12/08/2009]',-64.000
'[16:15:00.969 12/08/2009]',-51.000
'[16:15:00.975 12/08/2009]',-53.000
'[16:15:00.981 12/08/2009]',-46.000
'[16:15:00.988 12/08/2009]',-16.000
'[16:15:00.994 12/08/2009]',32.000
'[16:15:01.000 12/08/2009]',96.000
'[16:15:01.006 12/08/2009]',115.000
'[16:15:01.013 12/08/2009]',48.000
'[16:15:01.019 12/08/2009]',2.000
'[16:15:01.025 12/08/2009]',-15.000
'[16:15:01.031 12/08/2009]',-12.000
'[16:15:01.038 12/08/2009]',-7.000
'[16:15:01.044 12/08/2009]',-30.000
'[16:15:01.050 12/08/2009]',-10.000
'[16:15:01.056 12/08/2009]',-25.000
'[16:15:01.063 12/08/2009]',-32.000
'[16:15:01.069 12/08/2009]',-25.000
'[16:15:01.075 12/08/2009]',-63.000
